region,n_samples,seg_iou,det_f1,sev_macro_f1,sev_mae,det_auroc,low_sample,s1_vv_gap_days,s1_vh_gap_days,method,water_fraction_temporal,flag_arid_low_water,flag_temporal_gap,flag_sar_fallback,flag_perf_drop,failure_tag
301,4,0.7134864831962293,1.0,0.3333333333333333,0.5,,False,6.5,6.5,S2_NDWI_mNDWI,,True,True,False,True,temporal_mismatch
303,4,0.724021559017073,0.0,0.2222222222222222,0.75,,False,6.5,6.5,S2_NDWI_mNDWI,,True,True,False,True,temporal_mismatch
304,4,0.6841527203648212,0.0,1.0,0.0,,False,6.5,6.5,S2_NDWI_mNDWI,,True,True,False,True,temporal_mismatch
305,4,0.9569643550099113,1.0,0.3333333333333333,0.5,,False,6.5,6.5,S2_NDWI_mNDWI,,True,True,False,True,temporal_mismatch
306,4,0.976227673939803,1.0,1.0,0.0,,False,6.5,6.5,S2_NDWI_mNDWI,,True,True,False,False,stable
307,4,0.9514586658919236,1.0,1.0,0.0,,False,6.5,6.5,S2_NDWI_mNDWI,,True,True,False,False,stable
308,4,0.7897354116116103,1.0,1.0,0.0,,False,6.5,6.5,S2_NDWI_mNDWI,,True,True,False,False,stable
309,4,0.0,0.0,1.0,0.0,,False,6.5,6.5,S2_NDWI_mNDWI,,True,True,False,True,temporal_mismatch
310,4,0.2862284090271817,0.0,1.0,0.0,,False,6.5,6.5,S2_NDWI_mNDWI,,True,True,False,True,temporal_mismatch
311,4,0.3534285449960091,0.0,1.0,0.0,,False,6.5,6.5,S2_NDWI_mNDWI,,True,True,False,True,temporal_mismatch
313,4,0.9277245546077715,1.0,0.3333333333333333,0.5,,False,6.5,6.5,S2_NDWI_mNDWI,,True,True,False,True,temporal_mismatch
316,4,0.41751409952952867,0.0,1.0,0.0,,False,6.5,6.5,S2_NDWI_mNDWI,,True,True,False,True,temporal_mismatch
318,4,0.01675313799440537,0.0,1.0,0.0,,False,6.5,6.5,S2_NDWI_mNDWI,,True,True,False,True,temporal_mismatch
319,4,0.04231311821659059,0.0,1.0,0.0,,False,6.5,6.5,S2_NDWI_mNDWI,,True,True,False,True,temporal_mismatch
320,4,0.4466266060562452,0.0,1.0,0.0,,False,6.5,6.5,S2_NDWI_mNDWI,,True,True,False,True,temporal_mismatch
321,4,0.7545933339983883,1.0,0.42857142857142855,0.25,,False,6.5,6.5,S2_NDWI_mNDWI,,True,True,False,True,temporal_mismatch
323,4,0.5,0.0,1.0,0.0,,False,6.5,6.5,S2_NDWI_mNDWI,,True,True,False,True,temporal_mismatch
324,4,0.40646378802225924,0.0,1.0,0.0,,False,6.5,6.5,S2_NDWI_mNDWI,,True,True,False,True,temporal_mismatch
325,4,0.11203645859461744,0.0,1.0,0.0,,False,6.5,6.5,S2_NDWI_mNDWI,,True,True,False,True,temporal_mismatch
326,4,0.0,0.0,1.0,0.0,,False,6.5,6.5,S2_NDWI_mNDWI,,True,True,False,True,temporal_mismatch
327,4,0.010854341736694677,0.0,1.0,0.0,,False,6.5,6.5,S2_NDWI_mNDWI,,True,True,False,True,temporal_mismatch
328,4,0.43208504429959327,0.0,1.0,0.0,,False,6.5,6.5,S2_NDWI_mNDWI,,True,True,False,True,temporal_mismatch
329,4,0.2654366004220041,0.0,1.0,0.0,,False,6.5,6.5,S2_NDWI_mNDWI,,True,True,False,True,temporal_mismatch
330,4,0.75,0.0,1.0,0.0,,False,6.5,6.5,S2_NDWI_mNDWI,,True,True,False,True,temporal_mismatch
331,4,0.3110732547618017,0.0,1.0,0.0,,False,6.5,6.5,S2_NDWI_mNDWI,,True,True,False,True,temporal_mismatch
332,4,0.7954790566988914,0.0,1.0,0.0,,False,6.5,6.5,S2_NDWI_mNDWI,,True,True,False,True,temporal_mismatch
333,4,0.6300428277753449,0.0,1.0,0.0,,False,3.5,3.5,S2_NDWI_mNDWI,,True,False,False,True,arid_or_sparse_water
334,4,0.3722934255330636,0.0,1.0,0.0,,False,3.5,3.5,S2_NDWI_mNDWI,,True,False,False,True,arid_or_sparse_water
335,4,0.75,0.0,1.0,0.0,,False,6.5,6.5,S2_NDWI_mNDWI,,True,True,False,True,temporal_mismatch
336,4,0.11664746543778803,0.0,1.0,0.0,,False,6.5,6.5,S2_NDWI_mNDWI,,True,True,False,True,temporal_mismatch
